Date,Start,End,Duration (h),kWh,Night kWh,Day kWh,Cost,Off-Peak %
13/03/2026,19:29,06:12,10.72,32.85,17.47,15.38,7.8,50%
14/03/2026,06:13,07:34,1.35,3.99,3.79,0.2,0.63,90%
14/03/2026,22:30,06:01,7.52,14.21,10.43,3.78,2.84,90%
15/03/2026,18:20,07:31,13.18,24.98,13.26,11.72,5.94,53%
16/03/2026,18:30,01:46,7.27,13.79,2.4,11.39,4.2,17%
20/03/2026,19:00,14:32,19.53,37.02,13.27,23.75,9.99,36%
21/03/2026,14:16,00:47,10.52,20.0,0.54,19.46,6.64,3%
22/03/2026,15:34,16:14,0.67,1.27,0.0,1.27,0.43,0%
23/03/2026,19:08,06:14,11.1,20.99,10.84,10.15,5.04,52%
03/04/2026,11:04,12:17,25.22,47.72,0.0,47.72,16.09,0%
05/04/2026,20:00,08:44,12.73,24.2,13.3,10.9,5.66,55%
08/04/2026,18:06,14:27,20.35,38.53,13.25,25.28,10.5,34%
09/04/2026,14:28,18:07,3.65,7.0,0.0,7.0,2.36,0%
09/04/2026,19:01,02:56,7.92,15.03,4.62,10.41,4.2,31%
12/04/2026,16:42,01:47,9.08,17.16,2.42,14.74,5.33,14%
16/04/2026,07:35,16:40,9.08,17.36,0.0,17.36,5.85,0%
16/04/2026,22:41,07:33,32.87,62.43,49.29,13.14,11.81,79%
24/04/2026,12:24,07:57,19.55,37.11,13.29,23.82,10.02,36%
25/04/2026,11:23,14:07,2.73,5.17,0.0,5.17,1.74,0%
25/04/2026,21:41,08:11,10.5,19.99,13.33,6.66,4.24,67%
01/05/2026,16:46,08:33,15.78,30.06,13.33,16.73,7.63,44%
03/05/2026,17:40,08:57,15.28,28.92,13.25,15.67,7.27,46%
04/05/2026,10:21,14:21,4.0,7.58,0.0,7.58,2.56,0%
02/05/2026,12:27,14:49,2.37,4.48,0.0,4.48,1.51,0%
